"Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"8760-029-026","Warehousing, Distribution, Storage","1988","33","934876"
"026011315","distribution warehouse","2006","33","929017"
"330080036","light industrial","1995","33","928709"
"314170019","warehouse/mega","2018","33","928198"
"108335106","distribution warehouse","2000","33","927802"
"021126111","distribution warehouse","1998","33","924558"
"297110046","warehouse/mega","2019","32","920170"
"8242-030-018","Warehousing, Distribution, Storage","1957","32","919448"
"023806311","flex","2003","32","918134"
"012806329","flex","2006","32","917689"
"011031150","distribution warehouse","2016","32","915308"
"8719-007-050","Warehousing, Distribution, Storage","2006","32","914193"
"8348-022-047","Warehousing, Distribution, Storage","1952","32","913403"
"016755109","distribution warehouse","2006","32","909125"
"026201151","distribution warehouse","2008","32","908675"
"312250059","light industrial","2018","32","908345"
"024024169","distribution warehouse","2017","32","907946"
"316100047","warehouse/dry storage","2006","32","902729"
"023810154","distribution warehouse","1980","32","902644"
"156050019","warehouse/dry storage","1998","32","899113"
"8719-007-042","Warehousing, Distribution, Storage","2005","32","897228"
"8002-019-043","Warehousing, Distribution, Storage","1910","32","896896"
"317240001","warehouse/mega","2021","32","896286"
"025506129","distribution warehouse","2006","32","895952"
"025506128","distribution warehouse","2006","32","895241"
"049719210","light industrial","1970","32","893568"
"105637108","distribution warehouse","2014","31","890785"
"040507250","distribution warehouse","1997","31","890119"
"016750111","flex","2005","31","888596"
"113318121","distribution warehouse","2016","31","883995"
"156340056","light industrial","2006","31","882746"
"021130112","distribution warehouse","2001","31","879846"
"909370045","light industrial","2009","31","875518"
"021128134","distribution warehouse","1999","31","874531"
"107313102","distribution warehouse","2020","31","873932"
"295310054","warehouse/dry storage","2013","31","873556"
"023806207","flex","2017","31","871099"
"105446105","distribution warehouse","2018","31","867565"
"417020077","light industrial","2013","31","864622"
"302070031","light industrial","2020","30","859916"
"023816171","distribution warehouse","1991","30","859072"
"263050085","ct-light industrial","1989","30","858606"
"294180052","warehouse/dry storage","1910","30","857899"
"021128159","flex","2008","30","857534"
"263060041","light industrial","2014","30","853768"
"156360042","ct-warehouse/dry storage","1996","30","852576"
"263050084","warehouse/dry storage","2017","30","852386"
"8168-016-042","Warehousing, Distribution, Storage","1961","30","850425"
"5211-019-024","Warehousing, Distribution, Storage","1967","30","846047"
"8264-026-803","Warehousing, Distribution, Storage","1910","30","844799"
"024023135","light industrial","2016","30","841263"
"111601118","distribution warehouse","2012","30","835571"
"024018151","distribution warehouse","2015","30","835404"
"023810185","storage warehouse","2014","29","833633"
"156340054","light industrial","2000","29","833362"
"297232004","ct-warehouse/dry storage","2006","29","832908"
"303130040","warehouse/mega","2020","29","832839"
"309057104","distribution warehouse","2001","29","832751"
"011349182","light industrial","2005","29","832245"
"8577-007-023","Warehousing, Distribution, Storage","2020","29","831864"
"105449102","distribution warehouse","2020","29","830907"
"297080015","warehouse/mega","2019","29","830344"
"156140060","light industrial","2020","29","826828"
"021126110","distribution warehouse","1998","29","820031"
"013647214","flex","2013","29","818014"
"108332102","distribution warehouse","2000","29","816125"
"156040071","light industrial","2000","29","815640"
"282160025","light industrial","1910","29","814358"
"921020043","ct-light industrial","1987","29","813528"
"312250049","light industrial","1910","29","811300"
"024018149","distribution warehouse","2004","29","810861"
"263240047","warehouse/mega","1910","29","809875"
"8760-023-030","Warehousing, Distribution, Storage","1990","29","806999"
"021126113","flex","2008","28","806173"
"013824126","transit warehouse (truck terminal)","2001","28","804623"
"8719-005-015","Warehousing, Distribution, Storage","1999","28","804620"
"021121117","flex","2012","28","803268"
"021128144","distribution warehouse","2001","28","800351"
"025215196","distribution warehouse","2013","28","795996"
"7352-003-069","Warehousing, Distribution, Storage","2001","28","795322"
"156050023","warehouse/dry storage","2004","28","791154"
"021817118","light industrial","1981","28","789493"
"779050018","warehouse/dry storage","1999","28","789235"
"029204313","distribution warehouse","2006","28","788807"
"029205420","distribution warehouse","2016","28","788295"
"025803113","transit warehouse (truck terminal)","2000","28","787963"
"3107-027-050","Warehousing, Distribution, Storage","1998","28","787653"
"029205130","distribution warehouse","2011","28","785262"
"6245-016-930","Warehousing, Distribution, Storage","1990","28","784525"
"8535-001-036","Warehousing, Distribution, Storage","1992","28","782614"
"029205125","distribution warehouse","2007","28","780420"
"029207220","distribution warehouse","2016","28","779874"
"022928369","light industrial","2008","28","779155"
"025215198","distribution warehouse","2013","28","779073"
"024026174","flex","2016","28","779045"
"024017131","distribution warehouse","2004","27","778312"
"160040030","warehouse/dry storage","1910","27","777757"
"156080016","ct-light industrial","2011","27","777333"
"156040064","light industrial","1998","27","775134"
"023719151","distribution warehouse","2015","27","773339"
"111924120","distribution warehouse","2018","27","772217"
"022913130","distribution warehouse","2014","27","771632"
"297130063","ct-light industrial","2006","27","769020"
"029207156","distribution warehouse","2017","27","766466"
"156040072","light industrial","2001","27","763885"
"105638104","distribution warehouse","2014","27","762686"
"013636139","distribution warehouse","2013","27","762030"
"294070038","warehouse/dry storage","2018","27","762004"
"8719-005-014","Warehousing, Distribution, Storage","2007","27","761066"
"023808142","light industrial","1979","27","758970"
"314310019","light industrial","2019","27","758384"
"297230031","warehouse/dry storage","2013","27","757147"
"029204209","distribution warehouse","2006","27","754305"
"022902160","distribution warehouse","2019","27","754158"
"021128157","flex","2008","26","750005"
"6241-018-022","Warehousing, Distribution, Storage","2009","26","746787"
"101110018","light industrial","1993","26","745151"
"8245-002-025","Warehousing, Distribution, Storage","1969","26","743247"
"023803127","distribution warehouse","2003","26","741733"
"023803126","flex","2004","26","741525"
"029712215","storage building","1946","26","740604"
"5410-015-018","Warehousing, Distribution, Storage","1999","26","740392"
"156040080","light industrial","1910","26","739854"
"283160046","light industrial","1910","26","739240"
"160510005","warehouse/dry storage","2001","26","738769"
"029205224","distribution warehouse","2012","26","738086"
"023401116","flex","2006","26","736094"
"016768109","distribution warehouse","2002","26","735754"
"7001-020-013","Warehousing, Distribution, Storage","1996","26","734801"
"023808180","distribution warehouse","1997","26","734594"
"297150056","light industrial","2013","26","734311"
"025507154","flex","2017","26","731426"
"105443103","distribution warehouse","2015","26","727405"
"8577-007-021","Warehousing, Distribution, Storage","2019","26","726208"
"302170017","warehouse/dry storage","2017","26","725407"
"029205129","distribution warehouse","2008","26","725011"
"294180055","warehouse/mega","2021","26","723379"
"105437104","distribution warehouse","2019","26","722912"
"156150053","light industrial","1998","25","720219"
"306636129","light industrial","1981","25","715093"
"249060033","ct-warehouse/cold storage","2012","25","709339"
"737190015","ct-warehouse/cold storage","1985","25","708944"
"042131357","transit warehouse (truck terminal)","1974","25","708447"
"023802102","flex","2013","25","706906"
"763400021","ct-light industrial","1975","25","706754"
"302150030","warehouse/dry storage","1910","25","705547"
"023416111","cold storage facility","2008","25","704090"
"023809138","transit warehouse (truck terminal)","2002","25","702112"
"023813222","light industrial","1994","25","701953"
"156080032","ct-light industrial","1910","25","700043"
"178350028","light industrial","1991","25","696351"
"011031146","distribution warehouse","2016","25","696263"
"294050080","warehouse/dry storage","2016","25","696218"
"8719-007-048","Warehousing, Distribution, Storage","2007","25","694404"
"8125-015-014","Warehousing, Distribution, Storage","2004","24","692246"
"016764107","distribution warehouse","2001","24","691171"
"6134-021-016","Warehousing, Distribution, Storage","2016","24","690478"
"023615167","transit warehouse (truck terminal)","1982","24","689894"
"6134-021-015","Warehousing, Distribution, Storage","2016","24","689038"
"8069-012-008","Warehousing, Distribution, Storage","1968","24","688623"
"026002125","transit warehouse (truck terminal)","2001","24","688194"
"025804144","distribution warehouse","2020","24","686597"
"297170069","light industrial","2007","24","686419"
"302110040","warehouse/dry storage","2017","24","685206"
"026602154","transit warehouse (truck terminal)","2020","24","684737"
"263070054","light industrial","2003","24","682776"
"014801154","distribution warehouse","2007","24","682347"
"666370022","light industrial","1985","24","682325"
"023815223","distribution warehouse","1989","24","682022"
"021007245","distribution warehouse","2002","24","679490"
"156360016","light industrial","1910","24","678814"
"394070023","light industrial","1958","24","677642"
"156140061","warehouse/dry storage","2020","24","676878"
"163400018","light industrial","1990","24","676204"
"023808167","distribution warehouse","1989","24","674896"
"297160005","warehouse/mega","2021","24","674576"
"6335-007-023","Warehousing, Distribution, Storage","1999","24","673065"
"023401112","distribution warehouse","2004","24","672778"
"129200010","light industrial","2022","24","672604"
"745360004","light industrial","2007","24","672134"
"013639144","distribution warehouse","2005","24","669168"
"160510004","light industrial","2018","24","668564"
"2825-012-011","Warehousing, Distribution, Storage","1978","24","667934"
"023418112","light industrial","1985","24","667105"
"023802158","flex","2000","24","665408"
"156090034","light industrial","2002","23","663836"
"727091002","ct-light industrial","1910","23","662348"
"023814412","transit warehouse (truck terminal)","1999","23","662239"
"294210060","warehouse/mega","2018","23","661882"
"022928361","light industrial","1985","23","661766"
"013634187","distribution warehouse","2018","23","659138"
"022937123","flex","2005","23","658989"
"029207218","distribution warehouse","2015","23","654914"
"029203317","flex","2016","23","653675"
"022901241","distribution warehouse","2000","23","652652"
"2761-001-095","Warehousing, Distribution, Storage","1910","23","651989"
"330070014","light industrial","1951","23","651937"
"022926368","distribution warehouse","2003","23","650453"
"8417-001-027","Warehousing, Distribution, Storage","2011","23","649750"
"8760-029-037","Warehousing, Distribution, Storage","1991","23","648635"
"016768107","distribution warehouse","2006","23","645540"
"294100020","warehouse/mega","2020","23","645478"
"022929131","light industrial","1997","23","645134"
"7001-010-082","Warehousing, Distribution, Storage","2018","23","644349"
"2840-007-902","Warehousing, Distribution, Storage","1910","23","643325"
"022901244","flex","2003","23","642738"
"105446106","distribution warehouse","2017","23","640506"
"3210-018-004","Warehousing, Distribution, Storage","1960","23","637734"
"111002102","distribution warehouse","1990","22","635530"
"909370036","light industrial","2001","22","635521"
"8167-037-008","Warehousing, Distribution, Storage","1979","22","633217"
"7316-026-033","Warehousing, Distribution, Storage","1989","22","633135"
"316211001","warehouse/mega","2018","22","632713"
"8719-007-038","Warehousing, Distribution, Storage","1910","22","632550"
"023810111","flex","1997","22","632387"
"314110075","light industrial","1910","22","623538"
"156140032","light industrial","1910","22","622820"
"022926235","distribution warehouse","1983","22","620837"
"8617-001-020","Warehousing, Distribution, Storage","2016","22","618249"
"8242-011-067","Warehousing, Distribution, Storage","1973","22","618099"
"024021139","distribution warehouse","2015","22","617095"
"314180022","light industrial","2018","22","616966"
"7315-004-056","Warehousing, Distribution, Storage","1978","22","616928"
"023817448","distribution warehouse","2000","22","614986"
"023811149","distribution warehouse","2002","22","614939"
"023816182","distribution warehouse","2015","22","614384"
"045919250","light industrial","2016","22","614275"
"177110016","light industrial","1977","22","613975"
"8760-002-014","Warehousing, Distribution, Storage","1981","22","611428"
"023817143","light industrial","1980","22","611283"
"7316-026-017","Warehousing, Distribution, Storage","1986","22","610235"
"8564-009-020","Warehousing, Distribution, Storage","1981","22","610053"
"026005116","distribution warehouse","2019","22","608907"
"8026-018-010","Warehousing, Distribution, Storage","1987","21","608531"
"016748116","distribution warehouse","2006","21","607959"
"8719-006-019","Warehousing, Distribution, Storage","2002","21","604758"
"156140054","warehouse/dry storage","2003","21","603984"
"603232010","light industrial","1971","21","602532"
"026204121","distribution warehouse","2020","21","598610"
"354030037","warehouse/dry storage","2005","21","598053"
"6354-025-016","Warehousing, Distribution, Storage","1978","21","597768"
"025211127","light industrial","1965","21","597187"
"026022104","distribution warehouse","2017","21","596856"
"022901243","flex","2001","21","595985"
"023712207","light industrial","1966","21","595606"
"021128143","distribution warehouse","2001","21","594474"
"026002143","transit warehouse (truck terminal)","2005","21","594131"
"263070055","light industrial","2003","21","591991"
"046017105","transit warehouse (truck terminal)","2017","21","591864"
"014801165","distribution warehouse","2007","21","589224"
"8719-006-012","Warehousing, Distribution, Storage","2004","21","588719"
"330120014","light industrial","1966","21","588287"
"7005-003-067","Warehousing, Distribution, Storage","1997","21","588100"
"302160032","warehouse/dry storage","2017","21","587609"
"102163102","distribution warehouse","2001","21","587572"
"019341101","flex","2016","21","587227"
"102515116","distribution warehouse","2001","21","586889"
"023714104","flex","2016","21","585513"
"026011316","flex","2006","21","585135"
"7412-026-017","Warehousing, Distribution, Storage","2001","21","584861"
"023803128","distribution warehouse","2003","21","583400"
"8719-007-033","Warehousing, Distribution, Storage","2005","21","582767"
"022901242","distribution warehouse","2000","21","582492"
"156360014","warehouse/dry storage","2015","21","580691"
"263070065","light industrial","1910","20","579404"
"025506130","flex","2006","20","579258"
"957372012","warehouse/mega","2020","20","578250"
"023816181","distribution warehouse","2016","20","576677"
"8604-018-002","Warehousing, Distribution, Storage","1976","20","575534"
"312950108","light industrial","1995","20","574480"
"023814424","distribution warehouse","1998","20","572193"
"021122264","distribution warehouse","1999","20","570338"
"026205141","distribution warehouse","2018","20","570322"
"7319-029-901","Warehousing, Distribution, Storage","2004","20","569628"
"021126345","transit warehouse (truck terminal)","2018","20","569607"
"021122262","distribution warehouse","1996","20","569250"
"023802177","distribution warehouse","2013","20","569087"
"023810163","flex","1990","20","568724"
"102163101","distribution warehouse","2001","20","568486"
"156040073","light industrial","2001","20","568440"
"013635101","distribution warehouse","2006","20","568338"
"156140049","warehouse/dry storage","2001","20","568219"
"417020078","warehouse/dry storage","2008","20","567825"
"7351-020-022","Warehousing, Distribution, Storage","2018","20","566776"
"317230052","warehouse/mega","2019","20","566616"
"102244109","distribution warehouse","1996","20","565476"
"6332-017-033","Warehousing, Distribution, Storage","1977","20","565368"
"7306-018-030","Warehousing, Distribution, Storage","1964","20","565358"
"8707-007-025","Warehousing, Distribution, Storage","2015","20","564707"
"763340008","light industrial","1973","20","564584"
"295310081","light industrial","1963","20","562943"
"022911164","distribution warehouse","2001","20","561694"
"6356-019-006","Warehousing, Distribution, Storage","2014","20","561500"
"025508154","distribution warehouse","2019","20","560164"
"023815232","flex","2006","20","560097"
"316200034","warehouse/dry storage","2012","20","559364"
"3105-001-043","Warehousing, Distribution, Storage","2005","20","559088"
"263280067","light industrial","2007","20","558650"
"111002104","distribution warehouse","2000","20","556598"
"156040063","light industrial","1998","20","555124"
"027932166","flex","2016","20","554467"
"023718112","distribution warehouse","2016","20","553858"
"025422159","light industrial","1979","20","553674"
"316211018","warehouse/mega","2019","20","553509"
"045904134","distribution warehouse","2017","20","553357"
"6332-002-090","Warehousing, Distribution, Storage","1950","20","553216"
"023815214","distribution warehouse","1987","20","552783"
"160040034","light industrial","2006","20","552675"
"023803141","distribution warehouse","2004","20","552516"
"026201148","distribution warehouse","2008","20","552185"
"6336-005-024","Warehousing, Distribution, Storage","1956","19","551983"
"020921150","distribution warehouse","2004","19","551358"
"757170001","light industrial","1999","19","549882"
"049713130","light industrial","2002","19","549800"
"5146-009-006","Warehousing, Distribution, Storage","1985","19","549636"
"021128158","flex","2008","19","547640"
"023407141","transit warehouse (truck terminal)","2000","19","546980"
"102720105","distribution warehouse","2012","19","546618"
"102101120","flex","2012","19","546600"
"394070001","light industrial","1992","19","546292"
"7001-010-070","Warehousing, Distribution, Storage","2002","19","545664"
"013635116","distribution warehouse","2006","19","545558"
"303120012","light industrial","1986","19","545366"
"020921149","distribution warehouse","2003","19","544885"
"650020031","light industrial","1910","19","544562"
"115060024","light industrial","1997","19","541404"
"485230036","warehouse/dry storage","2018","19","540925"
"297130065","light industrial","1971","19","540524"
"102707105","distribution warehouse","2007","19","540368"
"102242124","distribution warehouse","1999","19","539931"
"024021139","distribution warehouse","2015","19","539856"
"102040035","light industrial","1967","19","539316"
"2523-003-009","Warehousing, Distribution, Storage","1964","19","538683"
"2523-003-005","Warehousing, Distribution, Storage","1964","19","538683"
"024025151","distribution warehouse","2020","19","538391"
"303060022","warehouse/dry storage","2014","19","537755"
"024021137","cold storage facility","2014","19","537743"
"023712206","transit warehouse (truck terminal)","2003","19","537455"
"312270036","warehouse/dry storage","2006","19","537190"
"316190047","warehouse/dry storage","2007","19","536985"
"021128141","distribution warehouse","1999","19","536644"
"7319-003-108","Warehousing, Distribution, Storage","2000","19","536626"
"011340105","distribution warehouse","2000","19","536166"
"8069-014-009","Warehousing, Distribution, Storage","2013","19","535592"
"026002160","distribution warehouse","2016","19","535067"
"263290071","light industrial","2007","19","534355"
"023714125","transit warehouse (truck terminal)","2017","19","534005"
"023709128","distribution warehouse","2013","19","533411"
"669060025","warehouse/dry storage","2015","19","533400"
"022926227","distribution warehouse","1987","19","533235"
"113305102","light industrial","1910","19","533186"
"156340059","light industrial","2012","19","532856"
"025509163","distribution warehouse","2021","19","532472"
"763160026","light industrial","1991","19","532314"
"045946168","light industrial","1990","19","532249"
"102216104","flex","2013","19","532138"
"316180015","warehouse/dry storage","2018","19","531368"
"156332020","light industrial","1995","19","530438"
"316100045","light industrial","1998","19","529303"
"102162103","distribution warehouse","1999","19","529279"
"021123248","light industrial","1996","19","529000"
"023811217","flex","2013","19","528717"
"102704106","distribution warehouse","2005","19","527760"
"108301106","light industrial","1988","19","527332"
"294640001","light industrial","1910","19","527115"
"045946101","transit warehouse (truck terminal)","1990","19","526645"
"029205123","distribution warehouse","2006","19","526610"
"021121124","distribution warehouse","2013","19","526590"
"6310-027-037","Warehousing, Distribution, Storage","1986","19","525613"
"026011314","distribution warehouse","2008","19","525205"
"156332015","warehouse/dry storage","1910","19","524712"
"012806330","flex","2005","19","524625"
"105622103","flex","2006","19","524247"
"023808158","distribution warehouse","1987","19","523876"
"102223104","distribution warehouse","1993","18","522655"
"316211026","light industrial","1996","18","522071"
"027819133","distribution warehouse","2009","18","521972"
"113326101","distribution warehouse","2015","18","521454"
"026636366","distribution warehouse","1985","18","521360"
"113301101","light industrial","1990","18","519979"
"023715105","light industrial","2004","18","519714"
"029205525","distribution warehouse","2014","18","519247"
"029205315","distribution warehouse","2015","18","519178"
"024022131","flex","2018","18","518922"
"020901385","light industrial","1967","18","518624"
"8044-001-034","Warehousing, Distribution, Storage","2000","18","517553"
"6332-015-018","Warehousing, Distribution, Storage","1973","18","517500"
"5117-017-015","Warehousing, Distribution, Storage","1978","18","517407"
"316180016","warehouse/dry storage","2018","18","517313"
"111001108","storage warehouse","1991","18","516451"
"102162104","distribution warehouse","1999","18","516364"
"021127539","distribution warehouse","2001","18","516246"
"316211027","warehouse/dry storage","2007","18","514730"
"263070064","light industrial","2007","18","514539"
"263021001","light industrial","2019","18","513851"
"297170089","warehouse/dry storage","1910","18","513787"
"156340060","light industrial","2008","18","512854"
"044908303","storage building","2015","18","512076"
"102722103","distribution warehouse","2004","18","511900"
"105448103","distribution warehouse","2014","18","511760"
"026205142","distribution warehouse","2019","18","511568"
"045946169","light industrial","1990","18","510305"
"663280025","light industrial","2018","18","510116"
"023805243","distribution warehouse","1999","18","509377"
"026636226","light industrial","1984","18","508661"
"2064-020-022","Warehousing, Distribution, Storage","1985","18","508479"
"312250058","warehouse/mega","2018","18","508275"
"029205131","distribution warehouse","2014","18","508131"
"305020029","light industrial","2000","18","507976"
"022929155","light industrial","2002","18","507510"
"175160048","light industrial","1973","18","507198"
"045935213","cold storage facility","2006","18","507044"
"011340215","flex","2001","18","506483"
"011340106","flex","2002","18","506458"
"963030021","light industrial","1910","18","506356"
"024024160","distribution warehouse","2013","18","506234"
"7319-039-126","Warehousing, Distribution, Storage","2003","18","505660"
"011349118","distribution warehouse","2012","18","505533"
"6309-026-019","Warehousing, Distribution, Storage","1936","18","504980"
"102102104","light industrial","1987","18","504624"
"8206-022-025","Warehousing, Distribution, Storage","1990","18","503668"
"021123247","flex","1998","18","503145"
"263280078","warehouse/dry storage","2008","18","502771"
"7319-006-024","Warehousing, Distribution, Storage","2005","18","502195"
"023813221","distribution warehouse","1987","18","500021"
"023521113","distribution warehouse","2019","18","497951"
"023620134","transit warehouse (truck terminal)","2004","18","497677"
"178350027","ct-warehouse/dry storage","2000","18","497571"
"023708130","distribution warehouse","2013","18","497399"
"8264-009-026","Warehousing, Distribution, Storage","1986","18","497237"
"023816152","distribution warehouse","1990","18","496410"
"102722103","distribution warehouse","2004","18","496273"
"156050025","warehouse/dry storage","2005","18","495711"
"309220007","warehouse/dry storage","1992","17","495478"
"023102159","storage warehouse","1987","17","494856"
"263280079","warehouse/dry storage","2007","17","494778"
"045919249","distribution warehouse","2008","17","494749"
"023711142","distribution warehouse","2017","17","494669"
"963070017","ct-light industrial","1994","17","494526"
"021003212","flex","2001","17","493319"
"023802178","distribution warehouse","2000","17","491889"
"025604153","distribution warehouse","2020","17","490355"
"023811143","distribution warehouse","1990","17","489787"
"102247104","distribution warehouse","1990","17","489560"
"7119-002-007","Warehousing, Distribution, Storage","2021","17","487646"
"012806148","distribution warehouse","2006","17","487594"
"023809147","light industrial","2003","17","487468"
"026002207","distribution warehouse","2007","17","487325"
"8709-027-038","Warehousing, Distribution, Storage","2012","17","486190"
"023809188","distribution warehouse","1991","17","485687"
"023813326","flex","1992","17","484847"
"156340047","warehouse/dry storage","1998","17","483973"
"027819134","distribution warehouse","2009","17","483542"
"023810157","distribution warehouse","1989","17","483430"
"312270035","warehouse/dry storage","1991","17","483295"
"7005-006-059","Warehousing, Distribution, Storage","1980","17","483237"
"023612224","distribution warehouse","2020","17","480882"
"247170047","warehouse/dry storage","1957","17","480653"
"023620135","transit warehouse (truck terminal)","2019","17","480314"
"105438103","distribution warehouse","2015","17","480019"
"024020165","distribution warehouse","2020","17","479393"
"014801168","distribution warehouse","2007","17","479376"
"102101121","distribution warehouse","1987","17","478824"
"8719-006-013","Warehousing, Distribution, Storage","2003","17","476931"
"6126-011-039","Warehousing, Distribution, Storage","1985","17","476907"
"102256102","distribution warehouse","1991","17","476901"
"8264-016-039","Warehousing, Distribution, Storage","1986","17","475818"
"023802147","distribution warehouse","1997","17","475692"
"107030022","light industrial","1954","17","475443"
"023806310","distribution warehouse","2005","17","474795"
"023813312","light industrial","1992","17","474487"
"013642221","distribution warehouse","2020","17","473576"
"023810179","flex","2000","17","471040"
"020927225","flex","2005","17","470825"
"302050040","warehouse/mega","2021","17","470560"
"305100066","warehouse/dry storage","2021","17","469839"
"8348-005-026","Warehousing, Distribution, Storage","1999","17","469779"
"331260020","light industrial","2010","17","469702"
"8069-001-038","Warehousing, Distribution, Storage","1974","17","469447"
"257020054","light industrial","2011","17","469272"
"249040017","light industrial","1955","17","469157"
"8208-001-050","Warehousing, Distribution, Storage","1967","17","469006"
"024026173","distribution warehouse","2014","17","468957"
"435211038","light industrial","1972","17","468311"
"023817441","distribution warehouse","2003","17","468037"
"297231006","light industrial","1994","17","467600"
"910500001","light industrial","1990","16","466741"
"011342105","light industrial","1996","16","465767"
"295310056","warehouse/dry storage","2013","16","464084"
"263290070","warehouse/dry storage","2007","16","462935"
"7306-025-010","Warehousing, Distribution, Storage","1980","16","462507"
"011344216","distribution warehouse","1999","16","462375"
"6332-013-030","Warehousing, Distribution, Storage","1961","16","462311"
"300250017","warehouse/mega","2019","16","462040"
"7319-039-134","Warehousing, Distribution, Storage","2006","16","461641"
"016767103","distribution warehouse","2006","16","461560"
"6340-006-077","Warehousing, Distribution, Storage","1962","16","459462"
"026917125","light industrial","2004","16","458338"
"300210030","light industrial","1973","16","458326"
"8264-002-034","Warehousing, Distribution, Storage","1985","16","457345"
"160510009","light industrial","2018","16","456422"
"102241105","distribution warehouse","1998","16","455808"
"021128140","flex","1999","16","455096"
"022929140","distribution warehouse","1998","16","455066"
"027519208","distribution warehouse","2021","16","455035"
"102703101","distribution warehouse","2013","16","455015"
"156360009","warehouse/dry storage","1997","16","454730"
"6336-002-020","Warehousing, Distribution, Storage","1990","16","453957"
"108307118","distribution warehouse","1998","16","453934"
"021123222","distribution warehouse","1988","16","453573"
"022927151","distribution warehouse","2019","16","452326"
"022926209","distribution warehouse","1984","16","452278"
"102243109","distribution warehouse","1997","16","452271"
"102249105","distribution warehouse","1998","16","451952"
"023817439","distribution warehouse","2000","16","451797"
"297140056","warehouse/dry storage","2015","16","451749"
"7315-033-038","Warehousing, Distribution, Storage","1974","16","451672"
"016764105","distribution warehouse","2002","16","451606"
"024021137","cold storage facility","2014","16","450597"
"113303101","light industrial","1991","16","448888"
"105437103","distribution warehouse","2018","16","447651"
"156030051","warehouse/mega","2020","16","447433"
"156030038","light industrial","1910","16","445871"
"316190050","warehouse/dry storage","2014","16","445435"
"5192-001-002","Warehousing, Distribution, Storage","2018","16","445262"
"6332-016-002","Warehousing, Distribution, Storage","2009","16","445234"
"665110006","light industrial","2021","16","444131"
"673020046","warehouse/dry storage","1910","16","443830"
"022928372","light industrial","1997","16","442861"
"023817445","distribution warehouse","1998","16","442732"
"021127511","distribution warehouse","2001","16","442416"
"488330046","warehouse/mega","2020","16","441819"
"300170009","light industrial","2021","16","441674"
"023810181","distribution warehouse","1998","16","441181"
"8026-018-030","Warehousing, Distribution, Storage","2013","16","440090"
"144010048","warehouse/dry storage","2018","16","440006"
"156350055","light industrial","1999","16","439404"
"156020027","warehouse/dry storage","1989","15","437874"
"023815224","distribution warehouse","1989","15","437637"
"532110002","light industrial","1910","15","437441"
"257050030","warehouse/mega","2021","15","437169"
"3386-007-035","Warehousing, Distribution, Storage","2003","15","437018"
"023813225","light industrial","1986","15","436465"
"347140073","light industrial","2002","15","436100"
"8760-022-027","Warehousing, Distribution, Storage","1987","15","435366"
"016764106","distribution warehouse","2008","15","435160"
"118060046","light industrial","2008","15","434907"
"111002103","distribution warehouse","2001","15","434600"
"175190023","light industrial","1999","15","434144"
"021123242","flex","1996","15","433484"
"279460058","light industrial","2007","15","432777"
"028025165","distribution warehouse","2014","15","432715"
"8069-011-028","Warehousing, Distribution, Storage","1971","15","432494"
"023813324","light industrial","1988","15","432433"
"021127534","distribution warehouse","1990","15","432334"
"283120019","light industrial","1910","15","431692"
"909060083","light industrial","2006","15","431644"
"045933125","light industrial","1956","15","430351"
"6169-011-004","Warehousing, Distribution, Storage","1999","15","430095"
"011336147","distribution warehouse","2000","15","429242"
"7412-026-018","Warehousing, Distribution, Storage","2001","15","428619"
"909370047","light industrial","1998","15","428269"
"189280025","light industrial","1979","15","426971"
"763141005","light industrial","1984","15","426953"
"306459114","light industrial","2002","15","426482"
"022911165","distribution warehouse","2007","15","426374"
"8025-001-021","Warehousing, Distribution, Storage","1999","15","425335"
"8417-035-006","Warehousing, Distribution, Storage","2001","15","424881"
"3137-010-026","Warehousing, Distribution, Storage","1955","15","424321"
"8264-002-033","Warehousing, Distribution, Storage","1986","15","423937"
"8760-009-006","Warehousing, Distribution, Storage","1979","15","423708"
"105449103","distribution warehouse","2020","15","423293"
"026605108","distribution warehouse","2004","15","422634"
"029205221","distribution warehouse","2006","15","421948"
"018619157","light industrial","2019","15","421507"
"028110129","distribution warehouse","2018","15","421489"
"8044-004-022","Warehousing, Distribution, Storage","2005","15","421425"
"021128105","distribution warehouse","1980","15","421257"
"7315-031-019","Warehousing, Distribution, Storage","1970","15","420404"
"023820133","light industrial","1995","15","420137"
"023812143","distribution warehouse","1999","15","420020"
"7319-039-135","Warehousing, Distribution, Storage","2006","15","419780"
"393120014","light industrial","1988","15","419761"
"029205419","distribution warehouse","2016","15","419487"
"8719-021-006","Warehousing, Distribution, Storage","1999","15","418425"
"4129-037-037","Warehousing, Distribution, Storage","1997","15","417891"
"6336-009-018","Warehousing, Distribution, Storage","1952","15","417715"
"8541-017-032","Warehousing, Distribution, Storage","2017","15","417131"
"6332-012-028","Warehousing, Distribution, Storage","1981","15","417009"
"8719-004-011","Warehousing, Distribution, Storage","1999","15","416706"
"023407101","storage warehouse","1987","15","416234"
"023816177","distribution warehouse","1996","15","414429"
"102139139","flex","1998","15","413740"
"044001408","light industrial","1987","15","412435"
"023919219","light industrial","1987","15","411457"
"6310-008-022","Warehousing, Distribution, Storage","2018","15","411361"
